name,categoryid,adress,placeUrl,location_x,location_y,phone,contents
꽃들Nature Farm,HEAL,경기도 양평군 강상면 다래길 27,http://blog.naver.com/ehfehfl1,127.4882936,37.44381749,010-2773-0084,"치유농업은 그 동안의 교육농장이나 체험농장과는 달리 농장주 또는 프로그램 진행자의 자격이나 지식에서 전문성이 있어야 할 수 있는 일이라 생각되어집니다. 제가 준비해 오던 원예치료사로서의 전문적인 발전을 치유농장 운영의 밑거름으로 활용하고, 작은 농장이지만 전문적인 치유농업 서비스를 제공하는데 충분한 시설과 프로그램을 준비한다면 농촌에서의 치유농업 서비스를 잘 발전시킬 수 있다고 확신합니다."
가이아치유농장,HEAL,전북 순창군 풍산면 금탄로 189-53,https://blog.naver.com/jarametop,127.1872508,35.35107338,010-9019-8331,"유기농업을 통하여 생명력 있는 먹거리를 생산하며 생명이 살아 숨 쉬는 자연 생태환경을 유지하고자 합니다. 농장에서의 치유교감 : 미나리와 연을 이용한 오감체험 운영, 미나리 가공 상품화 : 해독 미나리 주스, 6차 산업 인증농장, 농촌교육농장"
오송도시농업지원센터,HEAL,청주시 흥덕구 오송읍 오송4길 36-29,,127.3270223,36.61407495,,"치유가 필요한 도시민들의 정서적 안정 및 삶의 행복감 고취를 위하여 노력할 것이며, 지역 공동체와 연계하여 원예 치유 서비스의 지역사회 확장을 위하여 협력하고 청주시가 치유농업을 선도하는 도시로 성장하는데 기여하고자 합니다."
에버팜협동조합,HEAL,전라북도 완주군 화산면 화평1길 48,https://everfarm.tistory.com/,127.1974195,36.03636771,,"에버팜협동조합은 ‘모두를 위한 농(農) 디자인‘ 기반으로 사람을 향한 농업활동을 통해 몸과 마음을 디자인할 수 있는 감성공간을 제공하며 건강한 커뮤니티, 지역순환, 자연재생 등의 다각적인 농업 활동을 통해 삶의 질 향상, 지역 사회적 문제 해소, 농업의 가치를 공유하는 플랫폼 장소입니다."
가인치유농장,HEAL,전북 순창군 복흥면 가인로 442-103,,126.9753571,35.43438883,010-5667-4470,"30,000평의 임야에 약이 되는 식물을 심고 가꾸고 있으며 농장에서 나는 재료를 활용하여 건강한 먹거리, 즐길 거리 체험을 운영하며, 태권도 유단자와 함께하는 바른 자세, 건강한 마음을 경험할 수 있습니다"
신라식물원,HEAL,경북 예천군 감천면 충효로 1752,http://www.sinrafarm.com,128.5444236,36.74847804,054-652-4857,"신라식물원은 농업과 원예를 바탕으로 하는 자연친화적인 식물원으로써 자연, 사람 그리고 몸과 마음의 건강을 가질 수 있도록 소중한 가치를 만들어 가겠습니다."
성지체험농원,HEAL,경상남도 양산시 동면 법기로 114-46,http://blog.naver.com/orion6925,129.1170356,35.34550669,070-8899-6925,"원예활동과 숲활동 체험을 통한 신체, 심리 적응력을 기르고 육체적 재활과 정신적 회복 추구합니다."
산토끼농촌교육농장,HEAL,경상남도 창녕군 부곡면 온정청암로 354-20,http://blog.naver.com/ycseo38,128.6106639,35.42635741,055-521-3945,"산토끼를 주제로 학교교육과 연계된 교육적 체험학습 제공, 체험객의 심리적 치유 유도합니다."
매월당영농조합법인,HEAL,전북 남원시 금지면 매촌길 47-34,http://www.maewoldang.com,127.2729244,35.34872644,063-636-1278,"협업적 농업경영을 통한 생산성 향상 & 농산물의 출하. 가공, 수출 등을 통한 조합원의 소득증대 도모를 목적으로 하고 있습니다."
지리산휴가영농조합,HEAL,전남 구례군 구례읍 산수동 1길 87,https://blog.naver.com/my1472202,127.4394387,35.207834,010-4783-6519,"건강을 선도하는 지역농산물 중심 약선요리 레시피 개발 체험, 교육을 포함한 1박2일 힐링체험 프로그램을 운영하고있습니다."
예담솔,HEAL,전북 순창군 구림면 산내길 38-31,,127.1177215,35.48323607,010-9118-6167,농장에서 약용식물 이용 오감체험을 하고 있습니다.
쉼영농조합법인,HEAL,전북 고창군 고창읍 당촌길 75,http://blog.naver.com/redpig9101,126.6718241,35.44855744,063-563-4083,질적으로 건강한 먹거리와 자연과 함께하고자 하는 소비자 요구에 부응하는 농업 치유 서비스 제공하고 있습니다.
누리봄 교육농장,HEAL,진주시 대평면 내촌리 838-6 내촌 녹색 체험 마을,,127.9846159,35.16236308,055-752-2819,"누리봄 교육농장(누리봄이야기)은 창의력과 인성을 향상시키는 진로·생태 체험 교육농장이라는 목표 하에 식물을 활용한 원예프로그램, 절기와 세시풍속 체험, 꽃누르미 체험, 전통음식체험 등의 교육·치유 프로그램을 제공하고 있습니다."
태기산 아침의 새소리,HEAL,강원도 횡성군 둔내면 경강로 구두미 1길 93-11,http://www.tasm.kr,128.2619648,37.5766323,033-345-5745,"농업법인 태기산 아침의 새소리는 체험학습을 통한 교육, 휴식, 관광이 필요한 사람들에게 다양한 체험 프로그램 서비스를 제공하고 있으며 체류형 종합휴양지를 목표로 하고 있습니다."
다과록,HEAL,경기도 남양주시 별내면 용암도감말길 7-24,http://www.dagwarok.com,127.1285962,37.71694951,031-841-4894,"다과록은 생태학습이 가능한 친환경 체험 및 교육프로그램을 제공하고 있으며, 식물자원(포도밭, 녹차밭, 유실수 등)을 활용한 전통문화학습 및 원예치료, 예절관련 체험 및 교육프로그램을 운영하고 있습니다."
뜨락,HEAL,경산시 자인면 북사리 666-1번지,http://www.yipari.co.kr,128.8088625,35.82076707,053-851-8558,"식물 및 농업활동을 매개로 한 원예치료(활동) 프로그램 개발 및 원예치료(활동) 서비스 제공 & 다양한 치유농장 프로그램으로 식물을 통한 세대간, 계층간의 소통과 나눔을 실천할 수 있습니다."
물사랑 교육농장,HEAL,경남 진주시 대평면 호반로 414-17,http://www.schoolfarm.co.kr,127.9910551,35.16159797,010-9236-6454,물사랑 교육농장은 피부질환 및 식이요법이 필요한 아동을 포함한 초·중·고 학생과 모든 성인을 대상으로 단기 프로그램을 제공하고 있으며 100명 내외의 대·중·소규모 프로그램 운영이 가능한 농장입니다
농부가 나폴리농원,HEAL,경남 통영시 산양읍 미륵산길 152,http://www.naporyair.com/skin_mw1/,128.4238057,34.80202672,055-641-7005,"농부가 나폴리농원은 치유에 1차적인 목적을 두는 숲체험 힐링 프로그램을 운영하고 있으며,일반인 소규모 가족, 단체 등을 대상으로 원예(숲)자원을 활용한 치유, 체험 프로그램을 제공하고 있습니다"
행복농장,HEAL,충남 홍성군 장곡면 홍남동로 473번길 79-22,https://wwww.facebook.com/farmingforhappiness,126.6975339,36.50866292,010-3723-2757,"녹색돌봄 기능을 가진 농업 생산활동을 기반으로 협업 농업 방식의 유기농업 농장 기반 조성 & 다기능성 농업(사회적 농업)의 활성화를 통한 농업의 지속 가능성과 농촌지역 교육, 문화,균형있는 경제발전, 지역자치 등에 기여하고 있습니다"
김해생태체험학교 참빛,HEAL,경상남도 김해시 한림면 가동로103번길,http://www.chamvit.kr,128.7598336,35.33114878,055-337-4421,"김해생태체험학교 참빛은 원예활동 및 체험학습을 통해 참여자에게 관광, 체험, 치유 서비스를 제공하려는 목표 아래, 30명 내외 초·중·고생을 포함한 성인 모두와 사회적 약자(장애인 및 장애인 가정, 치매노인 등)를 대상으로 관광, 체험, 치유 형태의 일일 프로그램을 제공하고 있습니다"
미사리커피농원,HEAL,경기 하남시 미사동로40번길 141-81 미사리커피농원,,127.2096358,37.56705844,010-3601-8007,"1,200평의 하우스 내 커피나무 숲에서 숲 이야기를 시작으로 족욕, 열매 따기, 모종, 씨앗 심기 등 자연과 친해지며 힐링을 느낄 수 있는 미사리커피농원에서는 바리스타 교육도 이루어집니다. 직접 딴 열매를 펄핑하고, 가공법에 대해 설명을 들은 후 직접 가공하고, 볶고, 커피 내리는 활동도 진행하고 있습니다."
최은명자연꿀,HEAL,경기 화성시 봉담읍 방축길 6,https://choihoney.modoo.at,126.9717041,37.19954654,010-2779-9458,안녕하세요 최은명 자연꿀 입니다. 투병중 제가 먹기 위해 기른 100% 국내산 자연숙성꿀 최은명 자연꿀은 교과와 연계된 농촌체험농장 운영중입니다.
